# Acquisition Start Time: 2025-08-13 15:41:54.920386
# Total data points: 8539
# Data source: 完整数据（临时文件）
# Memory optimized: True
# Data format: Doctor mode (original values only)

time(s),传感器 1,传感器 2,传感器 3,传感器 4,传感器 5,传感器 6,传感器 7,传感器 8,传感器 9,传感器 10
34.31769347190857,1672.5779361588177,2172.5487411635695,1144.4681918310025,1860.715296888699,1561.9785367135694,1684.267516942308,1127.3250217504935,2040.7467102727205,1368.8335397164924,221.6784847360845
34.33370041847229,1671.9390308731242,2177.0500537037983,1144.9276243586262,1860.982767835476,1561.4577953984292,1684.203288008522,1127.7776124003692,2042.9353055059069,1368.4423887173557,219.2662416556192
34.335705280303955,1676.9972029376854,2176.5381290253913,1146.0924964826477,1860.0591788735342,1561.1475660559674,1683.080684909595,1127.8896217591007,2044.3377115369778,1367.3589910151893,218.96387900528518
34.349708795547485,1679.7150561094925,2175.7782765092848,1147.1856752356782,1860.1778979060075,1561.6403491087547,1683.001665632304,1127.7025215524177,2046.2271187336464,1367.10731274059,219.3287751469241
34.35071039199829,1682.8140265270358,2179.0656323807793,1148.605344744399,1859.6200280040916,1562.8654726680018,1682.9113060831605,1129.3410360877078,2045.9191278051605,1366.265230437613,220.19569638834005
34.36771368980408,1684.230841828263,2177.7835342617004,1149.5668817931423,1859.8160521488162,1562.9409377668535,1682.592548200568,1132.789082798955,2048.4504319034,1366.3015010439683,219.19656580082136
34.372714042663574,1686.3914662533268,2181.6204012219346,1150.0141137349087,1858.5939729273982,1564.6548807304855,1682.2434997039857,1135.9871017701198,2051.768007044282,1365.706356877634,219.47852081121658
34.375715494155884,1689.139501407917,2181.2069202031435,1150.163273324834,1858.989909393062,1563.7528428431972,1682.577273280222,1140.5349497967359,2054.118940131792,1365.624679161208,219.17337910409356
34.39673829078674,1689.0280123942093,2182.341069780258,1150.6980639242154,1858.8731647744312,1564.3034833924326,1681.6863127408626,1141.524172586896,2055.5802609254924,1365.9613529195021,219.2997698136824
34.39874076843262,1689.1923225229477,2184.915868688716,1151.590320518457,1858.924897318276,1564.474792796566,1682.1948472935044,1143.7641545453275,2058.0182301613704,1365.7863212638554,218.78674537328826
